Notes,state,state_code,year,year_code,opioid_deaths,population,opioid_death_rate
,California,6,2002,2002,1247,34871843,3.6
,California,6,2003,2003,1169,35253159,3.3
,California,6,2004,2004,1170,35574576,3.3
,California,6,2005,2005,1142,35827943,3.2
,California,6,2006,2006,1259,36021202,3.5
,California,6,2007,2007,1404,36250311,3.9
,California,6,2008,2008,1519,36604337,4.1
,California,6,2009,2009,1726,36961229,4.7
,California,6,2010,2010,1628,37253956,4.4
,California,6,2011,2011,1671,37691912,4.4
,California,6,2012,2012,1497,38041430,3.9
,California,6,2013,2013,1671,38332521,4.4
,California,6,2014,2014,1779,38802500,4.6
,California,6,2015,2015,1794,39144818,4.6
,California,6,2016,2016,1769,39250017,4.5
,California,6,2017,2017,2004,39536653,5.1
,California,6,2018,2018,2238,39557045,5.7
,California,6,2019,2019,2999,39512223,7.6
,California,6,2020,2020,5307,39368078,13.5
,Colorado,8,1999,1999,108,4226018,2.6
,Colorado,8,2000,2000,115,4301261,2.7
,Colorado,8,2001,2001,123,4425687,2.8
,Colorado,8,2002,2002,149,4490406,3.3
,Colorado,8,2003,2003,156,4528732,3.4
,Colorado,8,2004,2004,160,4575013,3.5
,Colorado,8,2005,2005,220,4631888,4.7
,Colorado,8,2006,2006,243,4720423,5.1
,Colorado,8,2007,2007,263,4803868,5.5
,Colorado,8,2008,2008,289,4889730,5.9
,Colorado,8,2009,2009,334,4972195,6.7
,Colorado,8,2010,2010,242,5029196,4.8
,Colorado,8,2011,2011,356,5116796,7
,Colorado,8,2012,2012,344,5187582,6.6
,Colorado,8,2013,2013,359,5268367,6.8
,Colorado,8,2014,2014,430,5355866,8
,Colorado,8,2015,2015,431,5456574,7.9
,Colorado,8,2016,2016,478,5540545,8.6
,Colorado,8,2017,2017,499,5607154,8.9
,Colorado,8,2018,2018,510,5695564,9
,Colorado,8,2019,2019,553,5758736,9.6
,Colorado,8,2020,2020,898,5807719,15.5
,Connecticut,9,1999,1999,134,3386401,4
,Connecticut,9,2000,2000,151,3405565,4.4
,Connecticut,9,2001,2001,133,3432835,3.9
,Connecticut,9,2002,2002,153,3458749,4.4
,Connecticut,9,2003,2003,160,3484336,4.6
,Connecticut,9,2004,2004,175,3496094,5
,Connecticut,9,2005,2005,153,3506956,4.4
,Connecticut,9,2006,2006,210,3517460,6
,Connecticut,9,2007,2007,231,3527270,6.5
,Connecticut,9,2008,2008,217,3545579,6.1
,Connecticut,9,2009,2009,205,3561807,5.8
,Connecticut,9,2010,2010,204,3574097,5.7
,Connecticut,9,2011,2011,197,3580709,5.5
,Connecticut,9,2012,2012,194,3590347,5.4
,Connecticut,9,2013,2013,405,3596080,11.3
,Connecticut,9,2014,2014,491,3596677,13.7
,Connecticut,9,2015,2015,647,3590886,18
,Connecticut,9,2016,2016,811,3576452,22.7
,Connecticut,9,2017,2017,927,3588184,25.8
,Connecticut,9,2018,2018,914,3572665,25.6
,Connecticut,9,2019,2019,1056,3565287,29.6
,Connecticut,9,2020,2020,1221,3557006,34.3
,Delaware,10,1999,1999,26,774990,3.4
,Delaware,10,2000,2000,23,783600,2.9
,Delaware,10,2001,2001,25,795699,3.1
,Delaware,10,2002,2002,36,806169,4.5
,Delaware,10,2003,2003,30,818003,3.7
,Delaware,10,2004,2004,26,830803,3.1
,Delaware,10,2005,2005,22,845150,2.6
,Delaware,10,2006,2006,30,859268,3.5
,Delaware,10,2007,2007,32,871749,3.7
,Delaware,10,2008,2008,52,883874,5.9
,Delaware,10,2009,2009,62,891730,7
,Delaware,10,2010,2010,87,897934,9.7
,Delaware,10,2011,2011,86,907135,9.5
,Delaware,10,2012,2012,67,917092,7.3
,Delaware,10,2013,2013,95,925749,10.3
,Delaware,10,2014,2014,103,935614,11
,Delaware,10,2015,2015,119,945934,12.6
,Delaware,10,2016,2016,146,952065,15.3
,Delaware,10,2017,2017,241,961939,25.1
,Delaware,10,2018,2018,341,967171,35.3
,Delaware,10,2019,2019,368,973764,37.8
,Delaware,10,2020,2020,396,986809,40.1
,District of Columbia,11,1999,1999,28,570213,4.9
,District of Columbia,11,2000,2000,38,572059,6.6
,District of Columbia,11,2001,2001,41,574504,7.1
,District of Columbia,11,2002,2002,25,573158,4.4
,District of Columbia,11,2003,2003,53,568502,9.3
,District of Columbia,11,2004,2004,44,567754,7.7
,District of Columbia,11,2005,2005,29,567136,5.1
,District of Columbia,11,2006,2006,50,570681,8.8
,District of Columbia,11,2007,2007,20,574404,3.5
,District of Columbia,11,2008,2008,21,580236,3.6
,District of Columbia,11,2009,2009,Suppressed,592228,Suppressed
,District of Columbia,11,2010,2010,29,601723,4.8
,District of Columbia,11,2011,2011,39,617996,6.3
,District of Columbia,11,2012,2012,36,632323,5.7
,District of Columbia,11,2013,2013,48,646449,7.4
,District of Columbia,11,2014,2014,56,658893,8.5
,District of Columbia,11,2015,2015,92,672228,13.7
,District of Columbia,11,2016,2016,187,681170,27.5
,District of Columbia,11,2017,2017,225,693972,32.4
,District of Columbia,11,2018,2018,175,702455,24.9
,District of Columbia,11,2019,2019,225,705749,31.9
,District of Columbia,11,2020,2020,309,712816,43.3
,Florida,12,1999,1999,302,15759421,1.9
,Florida,12,2000,2000,449,15982378,2.8
,Florida,12,2001,2001,724,16356966,4.4
,Florida,12,2002,2002,788,16689370,4.7
,Florida,12,2003,2003,921,17004085,5.4
,Florida,12,2004,2004,1010,17415318,5.8
,Florida,12,2005,2005,942,17842038,5.3
,Florida,12,2006,2006,1055,18166990,5.8
,Florida,12,2007,2007,1296,18367842,7.1
,Florida,12,2008,2008,1275,18527305,6.9
,Florida,12,2009,2009,1367,18652644,7.3
,Florida,12,2010,2010,1463,18801310,7.8
,Florida,12,2011,2011,1392,19057542,7.3
,Florida,12,2012,2012,1153,19317568,6
,Florida,12,2013,2013,1092,19552860,5.6
,Florida,12,2014,2014,1236,19893297,6.2
,Florida,12,2015,2015,1676,20271272,8.3
,Florida,12,2016,2016,2622,20612439,12.7
,Florida,12,2017,2017,3049,20984400,14.5
,Florida,12,2018,2018,2996,21299325,14.1
,Florida,12,2019,2019,3573,21477737,16.6
,Florida,12,2020,2020,5313,21733312,24.4
,Georgia,13,1999,1999,69,8045965,0.9
,Georgia,13,2000,2000,98,8186453,1.2
,Georgia,13,2001,2001,154,8377038,1.8
,Georgia,13,2002,2002,190,8508256,2.2
,Georgia,13,2003,2003,213,8622793,2.5
,Georgia,13,2004,2004,230,8769252,2.6
,Georgia,13,2005,2005,270,8925922,3
,Georgia,13,2006,2006,301,9155813,3.3
,Georgia,13,2007,2007,359,9349988,3.8
,Georgia,13,2008,2008,363,9504843,3.8
,Georgia,13,2009,2009,438,9620846,4.6
,Georgia,13,2010,2010,473,9687653,4.9
,Georgia,13,2011,2011,501,9815210,5.1
,Georgia,13,2012,2012,496,9919945,5
,Georgia,13,2013,2013,485,9992167,4.9
,Georgia,13,2014,2014,660,10097343,6.5
,Georgia,13,2015,2015,801,10214860,7.8
,Georgia,13,2016,2016,856,10310371,8.3
,Georgia,13,2017,2017,956,10429379,9.2
,Georgia,13,2018,2018,809,10519475,7.7
,Georgia,13,2019,2019,796,10617423,7.5
,Georgia,13,2020,2020,1263,10710017,11.8
,Hawaii,15,1999,1999,17,1210300,Unreliable
,Hawaii,15,2000,2000,16,1211537,Unreliable
,Hawaii,15,2001,2001,25,1225948,2
,Hawaii,15,2002,2002,35,1239613,2.8
,Hawaii,15,2003,2003,33,1251154,2.6
,Hawaii,15,2004,2004,39,1273569,3.1
,Hawaii,15,2005,2005,39,1292729,3
,Hawaii,15,2006,2006,39,1309731,3
,Hawaii,15,2007,2007,51,1315675,3.9
,Hawaii,15,2008,2008,35,1332213,2.6
,Hawaii,15,2009,2009,34,1346717,2.5
,Hawaii,15,2010,2010,48,1360301,3.5
,Hawaii,15,2011,2011,49,1374810,3.6
,Hawaii,15,2012,2012,42,1392313,3
,Hawaii,15,2013,2013,56,1404054,4
,Hawaii,15,2014,2014,44,1419561,3.1
,Hawaii,15,2015,2015,50,1431603,3.5
,Hawaii,15,2016,2016,66,1428557,4.6
,Hawaii,15,2017,2017,42,1427538,2.9
,Hawaii,15,2018,2018,54,1420491,3.8
,Hawaii,15,2019,2019,43,1415872,3
,Hawaii,15,2020,2020,69,1407006,4.9
,Idaho,16,1999,1999,20,1275674,1.6
,Idaho,16,2000,2000,15,1293953,Unreliable
,Idaho,16,2001,2001,36,1319962,2.7
,Idaho,16,2002,2002,29,1340372,2.2
,Idaho,16,2003,2003,39,1363380,2.9
,Idaho,16,2004,2004,37,1391802,2.7
,Idaho,16,2005,2005,30,1428241,2.1
,Idaho,16,2006,2006,53,1468669,3.6
,Idaho,16,2007,2007,49,1505105,3.3
,Idaho,16,2008,2008,49,1534320,3.2
,Idaho,16,2009,2009,43,1554439,2.8
,Idaho,16,2010,2010,58,1567582,3.7
,Idaho,16,2011,2011,53,1584985,3.3
,Idaho,16,2012,2012,40,1595728,2.5
,Idaho,16,2013,2013,58,1612136,3.6
,Idaho,16,2014,2014,62,1634464,3.8
,Idaho,16,2015,2015,72,1654930,4.4
,Idaho,16,2016,2016,96,1683140,5.7
,Idaho,16,2017,2017,80,1716943,4.7
,Idaho,16,2018,2018,98,1754208,5.6
,Idaho,16,2019,2019,110,1787065,6.2
,Idaho,16,2020,2020,144,1826913,7.9
,Illinois,17,1999,1999,449,12359020,3.6
,Illinois,17,2000,2000,522,12419293,4.2
,Illinois,17,2001,2001,473,12488445,3.8
,Illinois,17,2002,2002,514,12525556,4.1
,Illinois,17,2003,2003,424,12556006,3.4
,Illinois,17,2004,2004,492,12589773,3.9
,Illinois,17,2005,2005,553,12609903,4.4
,Illinois,17,2006,2006,817,12643955,6.5
,Illinois,17,2007,2007,630,12695866,5
,Illinois,17,2008,2008,770,12747038,6
,Illinois,17,2009,2009,799,12796778,6.2
,Illinois,17,2010,2010,784,12830632,6.1
,Illinois,17,2011,2011,840,12869257,6.5
,Illinois,17,2012,2012,1069,12875255,8.3
,Illinois,17,2013,2013,975,12882135,7.6
,Illinois,17,2014,2014,1091,12880580,8.5
,Illinois,17,2015,2015,1273,12859995,9.9
,Illinois,17,2016,2016,1816,12801539,14.2
,Illinois,17,2017,2017,2079,12802023,16.2
,Illinois,17,2018,2018,2044,12741080,16
,Illinois,17,2019,2019,2131,12671821,16.8
,Illinois,17,2020,2020,2864,12587530,22.8
,Indiana,18,1999,1999,29,6044969,0.5
,Indiana,18,2000,2000,29,6080485,0.5
,Indiana,18,2001,2001,35,6127760,0.6
,Indiana,18,2002,2002,30,6155967,0.5
,Indiana,18,2003,2003,97,6196638,1.6
,Indiana,18,2004,2004,92,6233007,1.5
,Indiana,18,2005,2005,114,6278616,1.8
,Indiana,18,2006,2006,107,6332669,1.7
,Indiana,18,2007,2007,160,6379599,2.5
,Indiana,18,2008,2008,190,6424806,3
,Indiana,18,2009,2009,257,6459325,4
,Indiana,18,2010,2010,227,6483802,3.5
,Indiana,18,2011,2011,291,6516922,4.5
,Indiana,18,2012,2012,310,6537334,4.7
,Indiana,18,2013,2013,306,6570902,4.7
,Indiana,18,2014,2014,376,6596855,5.7
,Indiana,18,2015,2015,477,6619680,7.2
,Indiana,18,2016,2016,713,6633053,10.7
,Indiana,18,2017,2017,1084,6666818,16.3
,Indiana,18,2018,2018,1013,6691878,15.1
,Indiana,18,2019,2019,1158,6732219,17.2
,Indiana,18,2020,2020,1729,6754953,25.6
,Iowa,19,1999,1999,10,2917634,Unreliable
,Iowa,19,2000,2000,12,2926324,Unreliable
,Iowa,19,2001,2001,14,2931997,Unreliable
,Iowa,19,2002,2002,31,2934234,1.1
,Iowa,19,2003,2003,28,2941999,1
,Iowa,19,2004,2004,38,2953635,1.3
,Iowa,19,2005,2005,54,2964454,1.8
,Iowa,19,2006,2006,66,2982644,2.2
,Iowa,19,2007,2007,70,2999212,2.3
,Iowa,19,2008,2008,88,3016734,2.9
,Iowa,19,2009,2009,107,3032870,3.5
,Iowa,19,2010,2010,113,3046355,3.7
,Iowa,19,2011,2011,132,3062309,4.3
,Iowa,19,2012,2012,136,3074186,4.4
,Iowa,19,2013,2013,147,3090416,4.8
,Iowa,19,2014,2014,136,3107126,4.4
,Iowa,19,2015,2015,148,3123899,4.7
,Iowa,19,2016,2016,161,3134693,5.1
,Iowa,19,2017,2017,176,3145711,5.6
,Iowa,19,2018,2018,122,3156145,3.9
,Iowa,19,2019,2019,139,3155070,4.4
,Iowa,19,2020,2020,196,3163561,6.2
,Kansas,20,1999,1999,22,2678338,0.8
,Kansas,20,2000,2000,14,2688418,Unreliable
,Kansas,20,2001,2001,38,2702162,1.4
,Kansas,20,2002,2002,58,2713535,2.1
,Kansas,20,2003,2003,54,2723004,2
,Kansas,20,2004,2004,79,2734373,2.9
,Kansas,20,2005,2005,83,2745299,3
,Kansas,20,2006,2006,84,2762931,3
,Kansas,20,2007,2007,78,2783785,2.8
,Kansas,20,2008,2008,76,2808076,2.7
,Kansas,20,2009,2009,120,2832704,4.2
,Kansas,20,2010,2010,85,2853118,3
,Kansas,20,2011,2011,91,2871238,3.2
,Kansas,20,2012,2012,147,2885905,5.1
,Kansas,20,2013,2013,131,2893957,4.5
,Kansas,20,2014,2014,140,2904021,4.8
,Kansas,20,2015,2015,129,2911641,4.4
,Kansas,20,2016,2016,119,2907289,4.1
,Kansas,20,2017,2017,118,2913123,4.1
,Kansas,20,2018,2018,132,2911505,4.5
,Kansas,20,2019,2019,167,2913314,5.7
,Kansas,20,2020,2020,240,2913805,8.2
,Kentucky,21,1999,1999,43,4018053,1.1
,Kentucky,21,2000,2000,87,4041769,2.2
,Kentucky,21,2001,2001,125,4068132,3.1
,Kentucky,21,2002,2002,158,4089875,3.9
,Kentucky,21,2003,2003,214,4117170,5.2
,Kentucky,21,2004,2004,205,4146101,4.9
,Kentucky,21,2005,2005,259,4182742,6.2
,Kentucky,21,2006,2006,291,4219239,6.9
,Kentucky,21,2007,2007,300,4256672,7
,Kentucky,21,2008,2008,316,4289878,7.4
,Kentucky,21,2009,2009,367,4317074,8.5
,Kentucky,21,2010,2010,539,4339367,12.4
,Kentucky,21,2011,2011,614,4369356,14.1
,Kentucky,21,2012,2012,609,4380415,13.9
,Kentucky,21,2013,2013,590,4395295,13.4
,Kentucky,21,2014,2014,683,4413457,15.5
,Kentucky,21,2015,2015,820,4425092,18.5
,Kentucky,21,2016,2016,930,4436974,21
,Kentucky,21,2017,2017,1116,4454189,25.1
,Kentucky,21,2018,2018,952,4468402,21.3
,Kentucky,21,2019,2019,999,4467673,22.4
,Kentucky,21,2020,2020,1653,4477251,36.9
,Louisiana,22,1999,1999,24,4460811,0.5
,Louisiana,22,2000,2000,48,4468976,1.1
,Louisiana,22,2001,2001,68,4477875,1.5
,Louisiana,22,2002,2002,76,4497267,1.7
,Louisiana,22,2003,2003,107,4521042,2.4
,Louisiana,22,2004,2004,124,4552238,2.7
,Louisiana,22,2005,2005,151,4576628,3.3
,Louisiana,22,2006,2006,180,4302665,4.2
,Louisiana,22,2007,2007,188,4375581,4.3
,Louisiana,22,2008,2008,113,4435586,2.5
,Louisiana,22,2009,2009,104,4491648,2.3
,Louisiana,22,2010,2010,99,4533372,2.2
,Louisiana,22,2011,2011,97,4574836,2.1
,Louisiana,22,2012,2012,147,4601893,3.2
,Louisiana,22,2013,2013,251,4625470,5.4
,Louisiana,22,2014,2014,246,4649676,5.3
,Louisiana,22,2015,2015,276,4670724,5.9
,Louisiana,22,2016,2016,327,4681666,7
,Louisiana,22,2017,2017,391,4684333,8.3
,Louisiana,22,2018,2018,429,4659978,9.2
,Louisiana,22,2019,2019,519,4648794,11.2
,Louisiana,22,2020,2020,877,4645318,18.9
,Maine,23,1999,1999,18,1266808,Unreliable
,Maine,23,2000,2000,37,1274923,2.9
,Maine,23,2001,2001,44,1285692,3.4
,Maine,23,2002,2002,84,1295960,6.5
,Maine,23,2003,2003,77,1306513,5.9
,Maine,23,2004,2004,88,1313688,6.7
,Maine,23,2005,2005,108,1318787,8.2
,Maine,23,2006,2006,88,1323619,6.6
,Maine,23,2007,2007,90,1327040,6.8
,Maine,23,2008,2008,94,1330509,7.1
,Maine,23,2009,2009,100,1329590,7.5
,Maine,23,2010,2010,81,1328361,6.1
,Maine,23,2011,2011,78,1328188,5.9
,Maine,23,2012,2012,86,1329192,6.5
,Maine,23,2013,2013,108,1328302,8.1
,Maine,23,2014,2014,157,1330089,11.8
,Maine,23,2015,2015,221,1329328,16.6
,Maine,23,2016,2016,284,1331479,21.3
,Maine,23,2017,2017,340,1335907,25.5
,Maine,23,2018,2018,270,1338404,20.2
,Maine,23,2019,2019,308,1344212,22.9
,Maine,23,2020,2020,401,1350141,29.7
,Maryland,24,1999,1999,13,5254509,Unreliable
,Maryland,24,2000,2000,19,5296486,Unreliable
,Maryland,24,2001,2001,15,5374691,Unreliable
,Maryland,24,2002,2002,17,5440389,Unreliable
,Maryland,24,2003,2003,23,5496269,0.4
,Maryland,24,2004,2004,19,5546935,Unreliable
,Maryland,24,2005,2005,23,5592379,0.4
,Maryland,24,2006,2006,25,5627367,0.4
,Maryland,24,2007,2007,22,5653408,0.4
,Maryland,24,2008,2008,23,5684965,0.4
,Maryland,24,2009,2009,46,5730388,0.8
,Maryland,24,2010,2010,54,5773552,0.9
,Maryland,24,2011,2011,84,5828289,1.4
,Maryland,24,2012,2012,137,5884563,2.3
,Maryland,24,2013,2013,190,5928814,3.2
,Maryland,24,2014,2014,181,5976407,3
,Maryland,24,2015,2015,271,6006401,4.5
,Maryland,24,2016,2016,463,6016447,7.7
,Maryland,24,2017,2017,514,6052177,8.5
,Maryland,24,2018,2018,507,6042718,8.4
,Maryland,24,2019,2019,476,6045680,7.9
,Maryland,24,2020,2020,852,6055802,14.1
,Massachusetts,25,1999,1999,24,6317345,0.4
,Massachusetts,25,2000,2000,28,6349097,0.4
,Massachusetts,25,2001,2001,30,6397634,0.5
,Massachusetts,25,2002,2002,31,6417206,0.5
,Massachusetts,25,2003,2003,37,6422565,0.6
,Massachusetts,25,2004,2004,61,6412281,1
,Massachusetts,25,2005,2005,499,6403290,7.8
,Massachusetts,25,2006,2006,609,6410084,9.5
,Massachusetts,25,2007,2007,592,6431559,9.2
,Massachusetts,25,2008,2008,543,6468967,8.4
,Massachusetts,25,2009,2009,572,6517613,8.8
,Massachusetts,25,2010,2010,499,6547629,7.6
,Massachusetts,25,2011,2011,593,6587536,9
,Massachusetts,25,2012,2012,638,6646144,9.6
,Massachusetts,25,2013,2013,836,6692824,12.5
,Massachusetts,25,2014,2014,1097,6745408,16.3
,Massachusetts,25,2015,2015,1510,6794422,22.2
,Massachusetts,25,2016,2016,1931,6811779,28.3
,Massachusetts,25,2017,2017,1870,6859819,27.3
,Massachusetts,25,2018,2018,1949,6902149,28.2
,Massachusetts,25,2019,2019,1920,6892503,27.9
,Massachusetts,25,2020,2020,1996,6893574,29
,Michigan,26,1999,1999,77,9897116,0.8
,Michigan,26,2000,2000,123,9938444,1.2
,Michigan,26,2001,2001,132,9991120,1.3
,Michigan,26,2002,2002,140,10015710,1.4
,Michigan,26,2003,2003,168,10041152,1.7
,Michigan,26,2004,2004,235,10055315,2.3
,Michigan,26,2005,2005,373,10051137,3.7
,Michigan,26,2006,2006,487,10036081,4.9
,Michigan,26,2007,2007,426,10001284,4.3
,Michigan,26,2008,2008,528,9946889,5.3
,Michigan,26,2009,2009,604,9901591,6.1
,Michigan,26,2010,2010,578,9883640,5.8
,Michigan,26,2011,2011,602,9876187,6.1
,Michigan,26,2012,2012,589,9883360,6
,Michigan,26,2013,2013,813,9895622,8.2
,Michigan,26,2014,2014,929,9909877,9.4
,Michigan,26,2015,2015,1186,9922576,12
,Michigan,26,2016,2016,1587,9928300,16
,Michigan,26,2017,2017,1846,9962311,18.5
,Michigan,26,2018,2018,1859,9995915,18.6
,Michigan,26,2019,2019,1643,9986857,16.5
,Michigan,26,2020,2020,2016,9966555,20.2
,Minnesota,27,1999,1999,39,4873481,0.8
,Minnesota,27,2000,2000,44,4919479,0.9
,Minnesota,27,2001,2001,68,4982796,1.4
,Minnesota,27,2002,2002,81,5018935,1.6
,Minnesota,27,2003,2003,86,5053572,1.7
,Minnesota,27,2004,2004,102,5087713,2
,Minnesota,27,2005,2005,111,5119598,2.2
,Minnesota,27,2006,2006,117,5163555,2.3
,Minnesota,27,2007,2007,137,5207203,2.6
,Minnesota,27,2008,2008,169,5247018,3.2
,Minnesota,27,2009,2009,210,5281203,4
,Minnesota,27,2010,2010,187,5303925,3.5
,Minnesota,27,2011,2011,253,5344861,4.7
,Minnesota,27,2012,2012,254,5379139,4.7
,Minnesota,27,2013,2013,272,5420380,5
,Minnesota,27,2014,2014,282,5457173,5.2
,Minnesota,27,2015,2015,294,5489594,5.4
,Minnesota,27,2016,2016,362,5519952,6.6
,Minnesota,27,2017,2017,386,5576606,6.9
,Minnesota,27,2018,2018,325,5611179,5.8
,Minnesota,27,2019,2019,393,5639632,7
,Minnesota,27,2020,2020,636,5657342,11.2
,Mississippi,28,1999,1999,12,2828408,Unreliable
,Mississippi,28,2000,2000,Suppressed,2844658,Suppressed
,Mississippi,28,2001,2001,17,2852994,Unreliable
,Mississippi,28,2002,2002,22,2858681,0.8
,Mississippi,28,2003,2003,28,2868312,1
,Mississippi,28,2004,2004,23,2889010,0.8
,Mississippi,28,2005,2005,25,2905943,0.9
,Mississippi,28,2006,2006,46,2904978,1.6
,Mississippi,28,2007,2007,75,2928350,2.6
,Mississippi,28,2008,2008,83,2947806,2.8
,Mississippi,28,2009,2009,72,2958774,2.4
,Mississippi,28,2010,2010,78,2967297,2.6
,Mississippi,28,2011,2011,68,2978512,2.3
,Mississippi,28,2012,2012,101,2984926,3.4
,Mississippi,28,2013,2013,88,2991207,2.9
,Mississippi,28,2014,2014,105,2994079,3.5
,Mississippi,28,2015,2015,138,2992333,4.6
,Mississippi,28,2016,2016,164,2988726,5.5
,Mississippi,28,2017,2017,170,2984100,5.7
,Mississippi,28,2018,2018,162,2986530,5.4
,Mississippi,28,2019,2019,233,2976149,7.8
,Mississippi,28,2020,2020,390,2966786,13.1
,Missouri,29,1999,1999,74,5561948,1.3
,Missouri,29,2000,2000,107,5595211,1.9
,Missouri,29,2001,2001,97,5641142,1.7
,Missouri,29,2002,2002,150,5674825,2.6
,Missouri,29,2003,2003,206,5709403,3.6
,Missouri,29,2004,2004,227,5747741,3.9
,Missouri,29,2005,2005,252,5790300,4.4
,Missouri,29,2006,2006,345,5842704,5.9
,Missouri,29,2007,2007,346,5887612,5.9
,Missouri,29,2008,2008,411,5923916,6.9
,Missouri,29,2009,2009,455,5961088,7.6
,Missouri,29,2010,2010,536,5988927,8.9
,Missouri,29,2011,2011,518,6010688,8.6
,Missouri,29,2012,2012,475,6021988,7.9
,Missouri,29,2013,2013,548,6044171,9.1
,Missouri,29,2014,2014,625,6063589,10.3
,Missouri,29,2015,2015,617,6083672,10.1
,Missouri,29,2016,2016,848,6093000,13.9
,Missouri,29,2017,2017,888,6113532,14.5
,Missouri,29,2018,2018,1083,6126452,17.7
,Missouri,29,2019,2019,1034,6137428,16.8
,Missouri,29,2020,2020,1326,6151548,21.6
,Montana,30,1999,1999,Suppressed,897507,Suppressed
,Montana,30,2000,2000,Suppressed,902195,Suppressed
,Montana,30,2001,2001,13,906961,Unreliable
